product_id,product_name,discounted_price,actual_price,discount_percentage,rating,rating_count,rating_weighted,category_1,category_2,rating_score,difference_price,neg,neu,pos,compound
B0B4PPD89B,"Kitchenwell 18Pc Plastic Food Snack Bag Pouch Clip Sealer for Keeping Food Fresh for Home, Kitchen, Camping Snack Seal Sealing Bag Clips (Multi-Color) | (Pack of 18)|",79.0,79.0,0.0,4.0,97.0,388.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,0.0,0.129,0.565,0.306,0.9473
B08GM5S4CQ,Havells Instanio 10 Litre Storage Water Heater with Flexi Pipe and Free installation (White Blue),6990.0,14290.0,0.51,4.4,1771.0,7792.400000000001,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,7300.0,0.058,0.622,0.32,0.9955
B00NM6MO26,Prestige PIC 16.0+ 1900W Induction Cooktop with Soft Touch Push Buttons (Black),2698.0,3945.0,0.32,4.0,15034.0,60136.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,1247.0,0.023,0.584,0.393,0.992
B083M7WPZD,"AGARO 33398 Rapid 1000-Watt, 10-Litre Wet & Dry Vacuum Cleaner, with Blower Function (Red & Black)",3199.0,5999.0,0.47,4.0,3242.0,12968.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,2800.0,0.091,0.434,0.475,0.9781
B07GLSKXS1,KENT 16026 Electric Kettle Stainless Steel 1.8 L | 1500W | Superfast Boiling | Auto Shut-Off | Boil Dry Protection | 360° Rotating Base | Water Level Indicator,1199.0,1950.0,0.39,3.9,2832.0,11044.8,Home & Kitchen,Kitchen & Home Appliances,Neutral,751.0,0.0,0.539,0.461,0.9879
B09F6KL23R,"SKYTONE Stainless Steel Electric Meat Grinders with Bowl 700W Heavy for Kitchen Food Chopper, Meat, Vegetables, Onion , Garlic Slicer Dicer, Fruit & Nuts Blender (2L, 700 Watts)",1414.0,2799.0,0.49,4.0,1498.0,5992.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,1385.0,0.049,0.578,0.374,0.987
B094G9L9LT,KENT 16088 Vogue Electric Kettle 1.8 Litre 1500 W | Stainless Steel body | Auto shut off over heating protection | 1 Year Warranty,999.0,1950.0,0.49,3.8,305.0,1159.0,Home & Kitchen,Kitchen & Home Appliances,Neutral,951.0,0.099,0.519,0.382,0.9863
B09FZ89DK6,"Eureka Forbes Supervac 1600 Watts Powerful Suction,bagless Vacuum Cleaner with cyclonic Technology,7 Accessories,1 Year Warranty,Compact,Lightweight & Easy to use (Red)",5999.0,9999.0,0.4,4.2,1191.0,5002.2,Home & Kitchen,Kitchen & Home Appliances,Satisfied,4000.0,0.036,0.599,0.365,0.9963
B0811VCGL5,"Mi Air Purifier 3 with True HEPA Filter, removes air pollutants, smoke, odor, bacteria & viruses with 99.97% efficiency, coverage area up to 484 sq. ft., Wi-Fi & Voice control - Alexa/GA (white)",9970.0,12999.0,0.23,4.3,4049.0,17410.7,Home & Kitchen,"Heating, Cooling & Air Quality",Satisfied,3029.0,0.058,0.722,0.22,0.9982
B07FXLC2G2,"Tata Swach Bulb 6000-Litre Cartridge, 1 Piece, White, Hollow Fiber Membrane",698.0,699.0,0.0,4.2,3160.0,13272.0,Home & Kitchen,Kitchen & Home Appliances,Satisfied,1.0,0.0,0.626,0.374,0.9858
